ciudad,latitud,longitud
SABANA DE TORRES,7.392068167941743, -73.50005495521114
CANDELARIA (VAL),3.4102323007152293, -76.34939034762566
LEBRIJA,7.113780213506743, -73.2174185732691
FUNDACION,10.517346797301215, -74.18279955207136
FLORENCIA (CAQ),1.61438, -75.60623
MONIQUIRA,5.87638, -73.57284
GUARNE,6.28046, -75.44354
GALAPA,10.89686, -74.886
POPAYAN,2.43823, -76.61316
LA VIRGINIA,4.896667,-75.883889
MARIQUITA,5.19889, -74.89295
PUERTO COLOMBIA (ATL),11.00100344636828, -74.95074204700047
YARUMAL,6.962486569458553, -75.41953183353475
LIBANO,4.9221523301609995, -75.06330210193445
CARTAGO,4.74670185403601, -75.90992194751244
ACACIAS,3.992689672254648, -73.76887642354158
DIBULLA,11.272468555240728, -73.30944380229565
CIENAGA (MAG),11.007874965613034, -74.24967908867842
LA CEJA,6.031233530597317, -75.43861032618031
SAN GIL,6.554989543527681, -73.13552412500621
BOSCONIA,9.970599470391269, -73.89115031022598
RIOHACHA,11.53881191898578, -72.91414219158025
APARTADO,7.882320100771314, -76.62983036423219
FLORIDABLANCA,7.072088285791914, -73.10540854403453
TRINIDAD,5.420908384111972, -71.64147795989972
BELLO,6.336308612453278, -75.56097349148588
CHAPARRAL,3.7229722154937943, -75.4723563959419
EL DONCELLO,1.680042030302402, -75.28329259086958
PUERTO BERRIO,6.472856513707391, -74.40583524033283
ORITO,0.6767082688423326, -76.88076353858287
GUADUAS,5.06692, -74.59499
LA UNION (VAL),4.533385932487157, -76.1037628239653
LORICA,9.238285450907197, -75.81394942533063
CHIQUINQUIRA,5.614774738208297, -73.81862708524213
TOCAIMA,4.458808960969557, -74.63754647433294
TOTORO,2.5099275100662672, -76.40188370264347
PATIA,2.070978201454372, -77.05254846118157
MAICAO,11.381138186553045, -72.24193834206291
PUERTO LOPEZ,4.091413272395415, -72.95654642735825
FONSECA,10.886459645657107, -72.85185854252175
FRESNO,5.15264, -75.03624
SOATA,6.333867355849426, -72.68261326782387
ANAPOIMA,4.54848809041617, -74.53405343221786
BARBOSA (SAN),5.934448801592186, -73.61490707979483
RIONEGRO (ANT),6.148761268002925, -75.37892540692192
LENGUAZAQUE,5.306073009688714, -73.71139879056027
MALAMBO,10.85799876614772, -74.7729832140857
SAN VICENTE DEL CAGUAN,2.1134825200495175, -74.7730808303999
JAMUNDI,3.2617864972652995, -76.54103736663619
LEJANIAS,3.527286972149467, -74.02229305554798
RAQUIRA,5.53793, -73.63201
MANI,4.817207389517716, -72.28261330657838
CALOTO,3.036072868742002, -76.40735159535676
TURBACO,10.334834716835156, -75.41348487927452
LA CALERA,4.719102264312247, -73.96808731002197
ROVIRA,4.240074762753159, -75.23963564074096
ORTEGA,3.9358368335665466, -75.22238620973346
MALLAMA,1.1407576106769273, -77.864435534439
GARAGOA,5.08236, -73.36334
AGUAZUL,5.17282, -72.54706
SAN MARTIN (MET),3.697738261992058, -73.69536732447675
NILO,4.30728057527762, -74.61999017737594
TUMACO,1.7891483864273108, -78.79050728244258
COMBITA,5.63426045455637, -73.32345089230445
PUERTO SALGAR,5.467499735192376, -74.65235030007403
TARAZA,7.5831913620753975, -75.39940865631176
LERIDA,4.860821883487042, -74.92022248909167
SALDAÑA,3.928889510603494, -75.01683400325683
GUASCA,4.867313814228437, -73.87741113947475
PUERTO ASIS,0.4985305562335533, -76.49693197154815
PLANADAS,3.1974492551084683, -75.64361405121231
PORE,5.726990194613618, -71.99428459543391
VENADILLO,4.714772124812613, -74.93084262936269
MONTERREY,4.878157242560541, -72.89532024125639
ARAUCA,7.075295673282806, -70.75193532730516
VILLA NUEVA,6.67082991806127, -73.17446012461008
PUERTO CARREÑO,6.18903, -67.48588
RICAURTE (CUN),4.28075, -74.76469
SAMACA,5.49273, -73.48537
LA PLATA,2.39341, -75.89232
OROCUE,4.79035, -71.33917
BOYACA,5.45371, -73.3625
CALDAS (ANT),6.09106, -75.63569
SAN MARCOS,8.65972, -75.12809
CHINCHINA,4.9825, -75.60361
LA LOMA- EL PASO,9.65724, -73.74685
ARMERO,5.030556, -74.884444
TIMANA,1.97136, -75.93123
COROZAL,9.31847, -75.2933
SAN CARLOS DE GUAROA,3.71161, -73.24344
SAN JUAN DE ARAMA,3.36985, -73.87267
UBATE,5.307222, -73.814444
PIEDECUESTA,6.98789, -73.04953
AIPE,3.22222, -75.23667
NATAGAIMA,3.62057, -75.09415
CUBARRAL,3.79536, -73.84063
CAPITANEJO,6.52881, -72.69595
SAN JUAN DE RIOSECO,5.30933, -73.81575
SAN JUAN DE NEPOMUCENO,4.84778, -74.62148
MESETAS,9.95157, -75.08198
SAN ONOFRE,3.38463, -74.04424
MARINILLA,9.73586, -75.52626
EL BAGRE,6.17358, -75.33621
CIUDAD BOLIVAR,7.60347, -74.80951
CACHIRA,5.85389, -76.02528
CIMITARRA,7.74104, -73.0483
TURBO,6.31419, -73.94968
CARTAGENA DE CHAIRA,8.09263, -76.72822
PUERTO LLERAS,1.33488, -74.84289
SUBACHOQUE,3.02225, -73.4044
PIENDAMO,4.92614, -74.17299
TIBU,2.63918, -76.53055
EL DIFICIL,8.63895, -72.73583
LA UNION (ANT),9.84975, -74.23627
PURISIMA,5.97431, -75.36195
SAN PEDRO (ANT),9.236389, -75.723611
BECERRIL,6.46135, -75.55778
SABANALARGA (ATL),9.70413, -73.2793
ITUANGO,10.63072, -74.92214
PALESTINA (CAL),7.17117, -75.76404
VALDIVIA,5.0161, -75.62854
BARANOA,7.29382, -75.3919
VENECIA (ANT),10.79408, -74.9164
PUERTO SANTANDER (NSA),5.96278, -75.73806
COPACABANA,8.36361, -72.4063
SANTANDER DE QUILICHAO,6.34633, -75.50888
RESTREPO (MET),3.00945, -76.48494
EL CASTILLO,4.25833, -73.56142
VILLARICA,3.56363, -73.79488
CAICEDONIA,2.5142, -76.84939
ARANZAZU,4.3324, -75.82665
CHARALA,5.27123, -75.49044
CARMEN DE VIBORAL,6.28581, -73.14722
MORALES CAU),6.08236, -75.33509
MANZANARES,2.75446, -76.62791
CISNEROS,5.25397, -75.15403
BUENAVISTA (COR),6.53833, -75.08861
ARMENIA (ANT),9.04963, -76.0028
PLATO,6.15639, -75.78722
